Providers number;Extern attribute;Global strings number;Dex number;Intern attribute;Argument Type number;Balise number;Call number;Special strings number;Custom Argument;Affectation number;Number of sginature permission;Number of Dangerous permission;Average size of class;Services number;Android API;Receivers Numbers;Unicode number;URL Number;Weighted Method per class;Reponse for class;Class number;Permission number;Other Permission number;Number of child;Other Type String Number;SystemArgs;Type;Index
1;83;4431;1;16;1134;5;0;0;0;91;1;9;162;2;0;3;0;6;27,4796748;54,95934959;0;22;12;0;0;0;Malware;42
0;83;2013;1;16;464;4;0;0;0;59;0;6;31;1;0;1;0;3;27,4796748;54,95934959;0;11;5;0;0;0;Malware;43
1;83;4431;1;16;1134;5;0;0;0;91;1;9;162;2;0;3;0;6;27,4796748;54,95934959;0;22;12;0;0;0;Malware;44
0;83;1993;1;16;391;2;4;0;0;9;0;0;103;0;0;0;0;0;25,67153285;51,34306569;0;1;1;0;0;0;Malware;45
0;83;584;1;16;119;2;0;0;0;0;0;4;79;0;0;0;0;0;25,25714286;50,51428571;0;5;1;0;0;0;Malware;46
1;83;4498;1;16;1143;5;0;0;0;93;1;9;161;2;0;3;0;6;30,27184466;60,54368932;0;22;12;0;0;0;Malware;47
0;83;8395;1;16;5760;4;0;0;0;917;6;17;214;5;0;6;0;12;30,31168831;60,62337662;0;77;54;0;0;0;Malware;48
0;83;3753;1;16;979;17;0;0;0;87;1;11;39;1;0;1;0;6;27,93854749;55,87709497;0;28;16;0;0;0;Malware;49
1;83;4498;1;16;1143;5;0;0;0;93;1;9;161;2;0;3;0;6;27,93854749;55,87709497;0;22;12;0;0;0;Malware;50
1;83;4498;1;16;1143;5;0;0;0;93;1;9;161;2;0;3;0;6;27,93854749;55,87709497;0;22;12;0;0;0;Malware;51
0;83;685;1;16;43;2;0;0;0;4;0;7;4;1;0;1;0;1;27,79558011;55,59116022;0;15;8;0;0;0;Malware;52
0;83;3788;1;16;552;2;11;0;0;106;0;3;146;1;0;0;0;3;27,19148936;54,38297872;0;9;6;0;0;0;Malware;53
0;83;415;1;16;39;1;0;0;0;0;1;4;124;0;0;0;0;0;27,08947368;54,17894737;0;10;5;0;0;0;Malware;54
0;83;2902;1;16;500;2;6;1;0;37;0;2;130;1;0;0;0;33;25,45454545;50,90909091;0;9;7;0;0;0;Malware;55
0;82;14127;1;17;3088;2;22;2;100;184;0;6;0;0;0;0;0;5;0;0;1;12;6;0;0;0;Malware;56
0;82;14241;1;17;3105;3;38;2;100;178;0;6;0;0;0;0;0;4;0;0;1;12;6;0;0;0;Malware;57
0;82;14241;1;17;3105;3;38;2;100;178;0;6;125;0;0;0;0;4;26,70967742;53,41935484;1;12;6;0;0;0;Malware;58
0;83;268;1;16;36;2;0;0;0;0;0;1;220;0;0;0;0;1;25,48484848;50,96969697;0;2;1;0;0;0;Malware;59
0;83;3050;1;16;762;7;0;0;0;47;0;3;78;0;0;0;0;14;20,60377358;41,20754717;0;11;8;0;0;0;Malware;60
0;82;14126;1;17;3088;2;22;2;100;184;0;6;109;0;0;0;0;5;20,66176471;41,32352941;1;12;6;0;0;0;Malware;61
0;82;14127;1;17;3088;2;22;2;100;184;0;6;109;0;0;0;0;5;20,66176471;41,32352941;1;12;6;0;0;0;Malware;62
0;82;14127;1;17;3088;2;22;2;100;184;0;6;109;0;0;0;0;5;20,66176471;41,32352941;1;12;6;0;0;0;Malware;63
0;83;8546;1;16;1180;29;17;8;0;294;0;3;242;0;2;0;0;62;18,21929825;36,43859649;90;7;4;0;0;0;Malware;64
0;82;14126;1;17;3088;2;22;2;100;184;0;6;109;0;0;0;0;5;18,21929825;36,43859649;1;12;6;0;0;0;Malware;65
0;83;1518;1;16;117;3;0;2;0;8;0;4;39;1;0;2;0;6;17,5;35;0;7;3;0;0;0;Malware;66
0;82;14241;1;17;3105;3;38;2;100;178;0;6;128;0;0;0;0;4;17,3968254;34,79365079;1;12;6;0;0;0;Malware;67
0;82;14126;1;17;3088;2;22;2;100;184;0;6;109;0;0;0;0;5;17,5;35;1;12;6;0;0;0;Malware;68
0;82;14241;1;17;3105;3;38;2;100;178;0;6;125;0;0;0;0;4;17,3968254;34,79365079;1;12;6;0;0;0;Malware;69
1;83;33225;1;16;10749;36;22;6;0;297;0;3;14;1;0;4;1;24;20,2654321;40,5308642;0;8;5;0;0;0;Malware;70
0;82;14126;1;17;3088;2;22;2;100;184;0;6;109;0;0;0;0;5;20,37037037;40,74074074;1;12;6;0;0;0;Malware;71
0;82;14127;1;17;3088;2;22;2;100;184;0;6;109;0;0;0;0;5;20,37037037;40,74074074;1;12;6;0;0;0;Malware;72
1;82;1911;1;17;109;2;0;0;0;374;0;0;0;0;0;0;0;0;20,37037037;40,74074074;0;4;4;0;0;0;Malware;73
0;83;584;1;16;119;2;0;0;0;0;0;4;79;0;0;0;0;0;20,11515152;40,23030303;0;5;1;0;0;0;Malware;74
0;83;584;1;16;119;2;0;0;0;0;0;4;79;0;0;0;0;0;20,11515152;40,23030303;0;5;1;0;0;0;Malware;75
0;83;21333;1;16;4541;104;25;1;0;230;0;0;34;0;2;0;2;30;24,52912621;49,05825243;0;1;1;0;0;0;Malware;76
